Company ,Employer/Aggregator,Priority,Checked,JBoard,Job Listing (1) ,Job Listing (2) ,Status,Issue,Search term alt protein,Additional data / notes,Company's general website,,
Oatly,Aggregator,,11/8/23,https://app.jboard.io/board/4328/importer/auto-importer/7141,https://careers.oatly.com/jobs?query=,,No jobs on JBoard but jobs listed on website,No jobs listed on JBoard but 1 US-based job listed on Company's website,https://altproteincareers.com/jobs?q=oatly&category=&posted_at=&location=&location_id=3&search_radius=,"Name on JBoard  Aggregator is ""careers.oatly.com"" instead of Oatly",https://careers.oatly.com,,
foodforecast,Employer,,,,,,,,,,https://de.linkedin.com/company/smart-foodforecast,,
The Vurger Co,Employer,,,,,,,,,,,,
Cultivated Biosciences,,,,,,,,,,,https://ch.linkedin.com/company/cultivatedbio,,
Ingredion,Employer,,,,,,,,,,,,
Mooji Meats (YC W22),Aggregator,,11/8/23,https://app.jboard.io/board/4328/importer/auto-importer/8284,https://www.linkedin.com/jobs/search/?currentJobId=3625991495&f_C=83347305&geoId=92000000&originToLandingJobPostings=3625991495%2C3625988635%2C3625992421,LinkedIn job listing link does not seem to work,Missing jobs on JBoard,JBoard has 1 job but 3 jobs listed on LinkedIn,https://altproteincareers.com/jobs?q=mooji&category=&posted_at=&location=&location_id=3&search_radius=,sometimes 4 jobs appear in APC search,https://www.linkedin.com/company/mooji-meats,https://www.moojimeats.com/#Team,
University of Alberta,Employer,,,,,,,,,,,,
Omeat,Aggregator,10,11/8/23,https://app.jboard.io/board/4328/importer/auto-importer/7765,https://www.linkedin.com/jobs/search/?currentJobId=3630111338&f_C=80980042&geoId=92000000&originToLandingJobPostings=3630111338%2C3619525672%2C3619523569%2C3638870033,,JBoard showing expired jobs,"JBoard says ""unable to detect jobs""
JBoard has 4 jobs listed but only 1 job is listed on Company website",https://altproteincareers.com/jobs?q=omeat&category=&posted_at=&location=&location_id=3&search_radius=,,https://www.linkedin.com/company/omeat,https://www.omeat.com/careers,
Core Biogenesis,Employer,,,,,,,,,,https://fr.linkedin.com/company/core-biogenesis,,
TIPA,Employer,,,,,,,,,,,,
Bosque Foods GmbH,Employer,,,,,,,,,,http://www.bosquefoods.com,,
Mosa Meat,Employer,,,,,,,,,,https://nl.linkedin.com/company/mosameat,,
LIVEKINDLY Collective,Employer,,,,,,,,,,https://www.linkedin.com/company/livekindly-collective,,
Alt Protein Partners,Employer,,,,,,,,,,,,
ADM,Aggregator,,11/8/23,https://app.jboard.io/board/4328/importer/auto-importer/9402,https://sjobs.brassring.com/TGnewUI/Search/Home/Home?partnerid=25416&siteid=5998#keyWordSearch=%22Meat%20Alternatives%22%20,,No jobs on JBoard but jobs listed on website,No jobs listed on JBoard but over 600 jobs listed on Company's website,https://altproteincareers.com/jobs?q=adm&category=&posted_at=&location=&location_id=3&search_radius=,Only Air Protein appears in APC search,https://www.adm.com/en-us/culture-and-careers/join-team-adm/,,
Tofurky,Aggregator,11,11/8/23,https://app.jboard.io/board/4328/importer/auto-importer/7665,https://www.paycomonline.net/v4/ats/web.php/jobs?clientkey=D40A47B08FB4C4BD8079AACD6B4A05C2,,No jobs on JBoard but jobs listed on website,No jobs listed on JBoard but 4 jobs listed on Company's website,https://altproteincareers.com/jobs?q=tofurky&category=&posted_at=&location=&location_id=3&search_radius=,,https://tofurky.com/careers/,,
Clever Carnivore,Employer,,,,,,,,,,,,
Yali Bio,Employer,,,,,,,,,,,,
Plant Veda,Employer,,,,,,,,,,,,
Wild Microbes,Aggregator,,11/8/23,https://app.jboard.io/board/4328/importer/auto-importer/7416,https://www.linkedin.com/jobs/search/?currentJobId=3627139372&f_C=81569763&geoId=92000000&originToLandingJobPostings=3627139372,,No jobs,"JBoard says ""unable to detect jobs""",https://altproteincareers.com/jobs?q=wild+microbes&category=&posted_at=&location=&location_id=3&search_radius=,,https://www.linkedin.com/company/wild-microbes,https://www.wildmicrobes.com/join,
WhatIF Foods,Aggregator,,11/8/23,https://app.jboard.io/board/4328/importer/auto-importer/7431,https://www.linkedin.com/jobs/search/?currentJobId=3640402054&f_C=31483340&geoId=92000000&originToLandingJobPostings=3640402054,,No jobs,"JBoard says ""unable to detect jobs""",https://altproteincareers.com/jobs?q=whatif&category=&posted_at=&location=&location_id=3&search_radius=,,https://sg.linkedin.com/company/whatif-foods,https://whatif-foods.com/,
PLANTA Restaurants,Aggregator,12,11/8/23,https://app.jboard.io/board/4328/importer/auto-importer/7602,https://www.linkedin.com/jobs/search/?currentJobId=3628317412&f_C=18407452&geoId=92000000&originToLandingJobPostings=3628317412%2C3610025264%2C3609459496%2C3609462357%2C3610011542%2C3628310676,,Works,Works,https://altproteincareers.com/jobs?q=planta&category=&posted_at=&location=&location_id=&search_radius=,,https://www.plantarestaurants.com/careers/,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=553cf4b8-39ab-4853-87ae-8d65bac00d0c&ccId=19000101_000001&lang=en_US,
Nutiva,Aggregator,,11/8/23,https://app.jboard.io/board/4328/importer/auto-importer/7422,https://www.linkedin.com/jobs/search/?currentJobId=3610095811&f_C=1902980&geoId=92000000&originToLandingJobPostings=3610095811,,No jobs,"JBoard says ""unable to detect jobs""",https://altproteincareers.com/jobs?q=nutiva&category=&posted_at=&location=&location_id=3&search_radius=,,https://www.linkedin.com/company/nutiva,https://www.nutiva.com/pages/careers,
